composer,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
"Beethoven,  Ludwig  van",32,36,66,97,114,93,280,548,961,638,648,627,327,310,278,283,312,318,12
"Weber,  Carl  Maria Von",24,24,20,17,22,24,45,137,192,150,103,87,24,43,41,10,27,6,0
"Hummel,  Johann",12,6,1,0,0,4,0,0,0,0,0,0,2,1,6,2,0,1,0
"Rossini,  Gioachino",11,2,6,4,0,4,16,21,62,74,67,101,51,42,14,19,37,27,0
"Mozart,  Wolfgang  Amadeus",15,20,29,25,32,29,67,142,289,347,330,391,241,262,323,298,311,270,12
"Kalliwoda,  Johann  W.",4,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0
"Bellini,  Vincenzo",3,3,3,1,2,0,0,8,0,1,1,11,6,5,3,0,1,0,0
"Romberg,  Bernhard",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pacini,  Giovanni",1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Onslow,  George",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thalberg,  Sigismond",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Herz,  Henri",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lindpaintner,  Peter  Von",9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haydn,  Franz  Joseph",3,3,5,13,11,11,27,58,113,116,86,114,72,135,92,31,58,43,7
"Mendelssohn,  Felix",44,49,48,25,21,23,88,171,257,152,201,205,88,69,65,66,153,110,0
"Spohr,  Louis",15,16,2,8,10,4,0,5,2,0,2,0,0,0,2,5,3,1,0
"Nini,  Alessandro",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Donizetti,  Gaetano",12,5,4,2,0,0,6,2,3,3,23,14,6,7,12,1,2,0,0
"Reicha,  Antoine(-Joseph)",2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"Herold,  Louis  Joseph Ferdinand [Hérold]",1,0,0,2,0,0,7,0,1,0,0,0,1,0,0,1,0,0,0
"Bochsa,  Robert  N. C.",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
