Source;Target;Weight
2;1840s;24
3;1840s;22
4;1840s;10
5;1840s;11
6;1840s;15
7;1840s;4
8;1840s;3
9;1840s;2
10;1840s;1
11;1840s;2
12;1840s;1
13;1840s;1
14;1840s;8
15;1840s;3
16;1840s;38
17;1840s;12
18;1840s;1
19;1840s;10
20;1840s;2
21;1840s;1
22;1840s;2
23;1840s;2
24;1840s;2
25;1840s;2
26;1840s;4
27;1840s;2
28;1840s;1
29;1840s;2
30;1840s;1
31;1840s;4
32;1840s;1
33;1840s;1
34;1840s;1
35;1840s;2
36;1840s;2
37;1840s;1
38;1840s;2
39;1840s;2
40;1840s;1
41;1840s;1
42;1840s;1
43;1840s;1
44;1840s;1
45;1840s;1
46;1840s;2
47;1840s;1
48;1840s;1
49;1840s;1
50;1840s;1
51;1840s;1
52;1840s;1
53;1840s;1
54;1840s;1
47;1850s;8
34;1850s;1
56;1850s;1
57;1850s;3
14;1850s;4
58;1850s;10
29;1850s;4
59;1850s;2
16;1850s;41
60;1850s;2
2;1850s;32
4;1850s;3
15;1850s;3
6;1850s;19
61;1850s;1
62;1850s;1
63;1850s;5
64;1850s;6
33;1850s;1
35;1850s;2
3;1850s;21
25;1850s;3
20;1850s;2
65;1850s;1
17;1850s;14
8;1850s;3
66;1850s;1
27;1850s;2
67;1850s;2
54;1850s;1
19;1850s;5
68;1850s;1
69;1850s;1
70;1850s;3
71;1850s;1
22;1850s;1
72;1850s;1
51;1850s;10
73;1850s;1
74;1850s;1
75;1850s;2
38;1850s;2
23;1850s;2
24;1850s;3
76;1850s;1
77;1850s;1
40;1850s;9
78;1850s;1
79;1850s;1
26;1850s;4
31;1850s;1
80;1850s;4
81;1850s;1
5;1850s;2
82;1850s;2
83;1850s;7
84;1850s;4
85;1850s;1
86;1850s;1
30;1850s;3
39;1850s;3
41;1850s;2
87;1850s;1
88;1850s;1
89;1850s;3
10;1850s;2
90;1850s;1
91;1850s;1
92;1850s;1
93;1850s;1
94;1850s;1
95;1850s;1
96;1850s;1
42;1850s;1
46;1850s;3
97;1850s;1
98;1850s;1
99;1850s;1
100;1850s;3
101;1850s;1
102;1850s;1
103;1850s;1
104;1850s;1
45;1850s;1
105;1850s;1
106;1850s;1
51;1860s;23
26;1860s;3
16;1860s;39
23;1860s;5
83;1860s;16
2;1860s;52
100;1860s;21
108;1860s;2
3;1860s;17
28;1860s;1
82;1860s;2
15;1860s;5
58;1860s;8
80;1860s;4
6;1860s;26
109;1860s;1
110;1860s;1
111;1860s;1
38;1860s;16
112;1860s;1
113;1860s;1
76;1860s;5
31;1860s;2
114;1860s;1
115;1860s;2
116;1860s;1
117;1860s;1
8;1860s;3
19;1860s;4
5;1860s;5
39;1860s;1
41;1860s;4
118;1860s;3
119;1860s;1
30;1860s;1
120;1860s;2
40;1860s;9
10;1860s;1
89;1860s;1
121;1860s;1
122;1860s;1
87;1860s;2
123;1860s;1
24;1860s;1
124;1860s;2
59;1860s;1
42;1860s;2
47;1860s;5
125;1860s;4
99;1860s;1
126;1860s;1
35;1860s;2
127;1860s;1
32;1860s;1
128;1860s;1
72;1860s;1
129;1860s;1
130;1860s;1
