Source;Target;Weight
2;17;6
3;17;5
4;17;4
5;17;4
6;17;2
7;17;1
9;17;1
10;17;2
12;17;1
13;17;2
14;17;1
15;17;1
16;17;1
18;17;1
19;17;1
20;17;1
2;29;2
22;29;1
6;29;2
23;29;3
3;29;3
4;29;3
7;29;1
9;29;1
25;29;2
26;29;1
20;29;1
28;29;1
5;29;1
30;29;1
19;29;1
2;38;4
23;38;4
19;38;3
16;38;2
18;38;1
3;38;3
20;38;1
6;38;1
33;38;1
35;38;1
36;38;2
28;38;1
37;38;1
39;38;1
4;38;1
19;54;4
41;54;2
42;54;1
43;54;2
5;54;3
44;54;1
45;54;1
2;54;3
47;54;1
16;54;1
48;54;1
49;54;1
7;54;1
3;54;3
6;54;3
51;54;1
52;54;1
23;54;2
55;54;1
20;62;3
49;62;1
57;62;1
52;62;1
6;62;2
36;62;1
59;62;1
2;62;3
9;62;1
3;62;2
43;62;2
18;62;1
61;62;1
5;62;1
48;62;1
19;62;1
63;62;1
20;69;3
19;69;13
6;69;5
55;69;1
2;69;3
3;69;2
66;69;1
16;69;2
70;69;1
71;69;1
7;69;1
73;80;1
30;80;1
35;80;1
3;80;3
37;80;1
20;80;1
75;80;1
76;80;1
16;80;1
2;80;1
19;80;2
78;80;1
79;80;1
33;80;1
71;80;1
23;80;1
81;80;1
4;80;1
2;86;2
20;86;2
83;86;1
19;86;13
5;86;2
16;86;1
36;86;1
3;86;1
4;86;1
87;86;1
73;96;1
47;96;1
89;96;1
90;96;1
16;96;1
92;96;1
41;96;1
93;96;1
19;96;5
94;96;1
2;96;2
4;96;1
18;96;1
6;96;2
97;96;1
98;96;1
99;96;1
100;96;1
19;105;6
45;105;1
48;105;1
3;105;5
16;105;1
2;105;2
35;105;2
25;105;2
6;105;1
104;105;1
92;105;2
20;105;1
9;105;1
99;105;1
106;105;1
37;105;1
2;116;3
19;116;4
4;116;1
73;116;2
108;116;1
87;116;1
23;116;1
100;116;1
92;116;1
110;116;1
111;116;1
112;116;1
113;116;1
20;116;2
48;116;1
28;116;1
115;116;1
79;116;1
6;116;1
3;116;2
117;116;1
118;116;1
20;125;5
120;125;1
6;125;1
52;125;1
30;125;1
112;125;1
23;125;1
33;125;1
79;125;1
92;125;1
3;125;1
2;125;3
122;125;1
19;125;2
73;125;1
124;125;1
57;125;2
126;125;1
127;125;1
99;125;1
36;125;1
2;136;5
3;136;3
43;136;1
73;136;1
9;136;1
129;136;3
16;136;1
19;136;6
23;136;1
131;136;1
5;136;1
132;136;1
99;136;1
6;136;2
90;136;1
112;136;1
20;136;1
94;136;1
135;136;1
41;136;1
92;136;1
57;136;2
2;143;2
19;143;4
138;143;3
139;143;1
140;143;1
92;143;1
135;143;1
73;143;1
42;143;2
3;143;2
52;143;1
120;143;1
55;143;2
59;143;1
41;143;1
35;143;1
30;143;1
33;143;1
2;154;3
6;154;3
93;154;1
41;154;1
57;154;1
3;154;2
145;154;1
146;154;1
73;154;1
148;154;1
135;154;1
12;154;1
149;154;1
150;154;1
79;154;2
18;154;1
152;154;1
153;154;1
138;154;1
19;154;6
100;154;1
36;154;1
20;161;2
3;161;1
156;161;1
79;161;2
157;161;1
9;161;1
2;161;3
6;161;4
19;161;2
100;161;1
42;161;1
159;161;1
61;161;1
129;161;1
148;161;2
36;161;1
16;161;1
12;161;1
135;161;1
73;170;1
6;170;1
90;170;1
20;170;2
71;170;2
132;170;1
99;170;1
5;170;1
2;170;4
19;170;3
92;170;1
135;170;1
3;170;2
18;170;1
23;170;1
57;170;3
79;170;2
165;170;1
166;170;1
167;170;1
37;170;1
59;170;1
169;170;2
33;170;1
36;170;1
171;170;1
100;170;1
92;180;2
19;180;3
6;180;4
173;180;1
