Id;Label
1;Beethoven,  Ludwig  van
2;Hill, Ureli Corelli
3;Weber,  Carl  Maria Von
4;Timm, Henry C.
5;Etienne, Denis G.
6;Rossini,  Gioachino
7;Mozart,  Wolfgang  Amadeus
8;Kalliwoda,  Johann  W.
9;Bellini,  Vincenzo
10;Romberg,  Bernhard
11;Alpers, William
12;Hummel,  Johann
13;Not conducted
14;Pacini,  Giovanni
15;Onslow,  George
16;Thalberg,  Sigismond
17;Herz,  Henri
18;Lindpaintner,  Peter  Von
19;Boucher, Alfred
20;Haydn,  Franz  Joseph
21;Loder, George
22;Mendelssohn,  Felix
23;Spohr,  Louis
24;Nini,  Alessandro
25;Donizetti,  Gaetano
26;Herold,  Louis  Joseph Ferdinand [Hérold]
27;Vieuxtemps,  Henri
28;Marschner,  Heinrich  August
29;Wiegers, Louis
30;Bennett,  William  Sterndale
31;Meyerbeer,  Giacomo
32;Ries,  Ferdinand
33;Kreutzer,  Conradin
34;Cherubini,  Luigi
35;Mercadante,  Giuseppe  Saverio
36;Traditional,
37;Heller,  Stephen [István]
38;Mehul [Méhul],  Etienne  Nicolas
39;Loder,  George, Jr.
40;Beriot,  Charles-Auguste  de
41;Reissiger,  Karl  Gottlieb
42;Furstenau,  Anton  Bernhard
43;Berlioz,  Hector
44;Verdi,  Giuseppe
45;Chopin,  Frédéric
46;Bristow,  George  Frederick
47;Hiller,  Ferdinand
48;Eisenhofer,  Franz  Xaver
49;Dussek,  Jan  Ladislav
50;"Macfarren, George Alexander;  Loder, George"
51;Moscheles,  Ignaz
52;Lachner,  Franz
53;Gade,  Niels
54;Jacobi,  Frederick
55;Granz,  Norman
56;Eisfeld, Theodore
57;Schmitz,  Henry
58;Schumann,  Robert
59;Maretzek, Max
60;Costa,  Sir  Michael
61;Nicholson,  Charles
62;Maurer,  Ludwig  Wilhelm
63;Benedict,  Jules
64;Fuchs,  H.
65;Schubert,  Franz
66;David,  Ferdinand
67;Spontini,  Gasparo
68;Heinemeyer,  Ernst  Wilhelm
69;Dancla,  Jean  Charles
70;Wallace,  William  Vincent
71;Litolff,  Henry  Charles
72;Kalkbrenner,  Friedrich [Frédéric]
73;Abt,  Franz
74;Gumbert,  Friedrich  Adolf
75;Paganini,  Nicolò
76;Fesca,  Alexander  (Ernst)
77;Lobe,  Johann  Christian
78;Mason,  William
79;Bordese,  Luigi
80;Parish-Alvars,  Elias
81;Handel,  George  Frideric
82;Lortzing,  Albert
83;Schneider,  Johann  C. Friedrich
84;Baumann,  F.
85;Eisfeld,  Theodore
86;Sainton,  Prosper
87;Schreiber,  Louis
88;Bergmann, Carl
89;Wagner,  Richard
90;Mollenhauer,  Friedrich
91;Gluck,  Christoph  Willibald
92;Dessauer,  Josef
93;Rode,  Jacques  Pierre Joseph
94;Henselt,  Adolf  Von
95;Gottschalk,  Louis  Moreau
96;Schindelmeisser,  Ludwig
97;Ernst,  Heinrich  Wilhelm
98;Rietz,  Julius
99;Goltermann,  Georg  Eduard
100;Servais,  Adrien  Francois
101;Nicolai,  Otto
102;Topliffe,  Robert
103;Liszt,  Franz
104;Arne,  Thomas
105;Napoleon,  Arthur
106;Stigelli,  Giorgio
107;Satter,  Gustave
108;Auber,  Daniel-François
109;Haertel,  A.
110;Kummer,  Friedrich  August
111;Mollenhauer,  Edward
112;Tedesco,  Ignaz  Amadeus
113;Lubeck,  Ernst
114;Saar,  William
115;Lucas,
116;Bristow, George Frederick
117;Shaw,  David  T.
118;Wallace,
119;Hopkins,  Charles  Jerome
120;Otten,  William  F.
121;Mills,  Sebastian  Bach
122;Verzano,
123;Anthem,
124;Stradella,  Alessandro
125;Brahms,  Johannes
126;Goldbeck,  Robert
127;Neukirchner,  Wenzel
128;Lipinsky,  Karl  Joseph
129;Rubinstein,  Anton
130;Clapisson,  Antoine  Louis
131;Bergner,  Frederick
132;Gounod,  Charles
133;Artot,  Alexandre
134;Esser,  Heinrich
135;Evers,  Carl
136;Flotow,  Friedrich  Von
137;Hohnstock,  Carl
138;Ritter,  Frederic  Louis
139;Alard,  Jean  Delphin
140;Palestrina,  Giovanni  Da
141;Bargiel,  Woldemar
142;Prume,  Jehin
143;Wehli,  James  M.
144;Burgmuller,  Norbert
145;Volkmann,  Friedrich  Robert
146;Bruch,  Max
147;Veit,  Wenzel  Heinrich
148;Kinkel,  Johanna
149;Catel,  Charles  Simon
150;Bull,  Ole
151;Bach,  Johann  Sebastian
152;Rizzo,  Giovanni  Battista [Riccio]
153;Raff,  Joachim
154;Goldmark,  Karl
155;Reinecke,  Carl
156;Dachauer,  Louis
157;Heinefetter,  Wilhelm
158;Boieldieu,  François-Adrien
159;Frey,  M.
160;Erdmannsdorfer,  Max  Von
161;Matzka,  George
162;Rubinstein, Anton
163;Grimm,  Julius  Otto
164;Dietrich,  Albert  Hermann
165;Lassen,  Eduard
166;Damrosch,  Leopold
167;Bulow,  Hans  Von
168;"Bergmann, Carl;  Neuendorff, Adolph"
169;Pfeffer,  Walter
170;Metzdorff,  Richard
171;Matzka, George
172;Tchaikovsky,  Pyotr  Ilyich
173;Damrosch, Leopold
174;Schmelz, Reinhard
175;Saint-Saens [Saint-Saëns],  Camille
176;Fuchs,  Robert
177;Bronsart,  Hans  Von
178;Thomas, Theodore
179;Wilhelmj,  August  Daniel Ferdinand
180;Neuendorff, Adolph
181;Svendsen,  Johan
182;Glinka,  Mikhail
183;Grieg,  Edvard
184;Scharwenka,  Franz  Xaver
185;Brull,  Ignaz
186;Kiel,  Friedrich
187;Jommelli,  Niccolò
188;Reinhold,  Hugo
189;Fischer,  Adolf
190;Dvorak,  Antonín
191;Rossi,  Francesco
192;Rheinberger,  Joseph
193;Thiele,  Louis
194;Hamerik,  Asger
195;Unknown,
196;Boise,  O. B.
197;Huber,  Hans
