Id;Label
1;1840s
2;Beethoven,  Ludwig  van
3;Weber,  Carl  Maria Von
4;Hummel,  Johann
5;Rossini,  Gioachino
6;Mozart,  Wolfgang  Amadeus
7;Kalliwoda,  Johann  W.
8;Bellini,  Vincenzo
9;Romberg,  Bernhard
10;Pacini,  Giovanni
11;Onslow,  George
12;Thalberg,  Sigismond
13;Herz,  Henri
14;Lindpaintner,  Peter  Von
15;Haydn,  Franz  Joseph
16;Mendelssohn,  Felix
17;Spohr,  Louis
18;Nini,  Alessandro
19;Donizetti,  Gaetano
20;Reicha,  Antoine(-Joseph)
21;Herold,  Louis  Joseph Ferdinand [Hérold]
22;Bochsa,  Robert  N. C.
23;Vieuxtemps,  Henri
24;Marschner,  Heinrich  August
25;Bennett,  William  Sterndale
26;Meyerbeer,  Giacomo
27;Ries,  Ferdinand
28;Kreutzer,  Conradin
29;Cherubini,  Luigi
30;Mercadante,  Giuseppe  Saverio
31;Traditional,
32;Heller,  Stephen [István]
33;Mehul [Méhul],  Etienne  Nicolas
34;Loder,  George, Jr.
35;Beriot,  Charles-Auguste  de
36;Reissiger,  Karl  Gottlieb
37;Furstenau,  Anton  Bernhard
38;Berlioz,  Hector
39;Verdi,  Giuseppe
40;Chopin,  Frédéric
41;Bristow,  George  Frederick
42;Hiller,  Ferdinand
43;Eisenhofer,  Franz  Xaver
44;Dussek,  Jan  Ladislav
45;Moscheles,  Ignaz
46;Lachner,  Franz
47;Gade,  Niels
48;Jacobi,  Frederick
49;Granz,  Norman
50;Schmitz,  Henry
51;Schumann,  Robert
52;Costa,  Sir  Michael
53;Nicholson,  Charles
54;Maurer,  Ludwig  Wilhelm
55;1850s
56;Benedict,  Jules
57;Fuchs,  H.
58;Schubert,  Franz
59;David,  Ferdinand
60;Spontini,  Gasparo
61;Heinemeyer,  Ernst  Wilhelm
62;Dancla,  Jean  Charles
63;Wallace,  William  Vincent
64;Litolff,  Henry  Charles
65;Kalkbrenner,  Friedrich [Frédéric]
66;Haase,  Carl  F.W.
67;Abt,  Franz
68;Gumbert,  Friedrich  Adolf
69;Paganini,  Nicolò
70;Fesca,  Alexander  (Ernst)
71;Lobe,  Johann  Christian
72;Mason,  William
73;Gockel,  August
74;Bordese,  Luigi
75;Parish-Alvars,  Elias
76;Handel,  George  Frideric
77;Lortzing,  Albert
78;Schneider,  Johann  C. Friedrich
79;Baumann,  F.
80;Eisfeld,  Theodore
81;Sainton,  Prosper
82;Schreiber,  Louis
83;Wagner,  Richard
84;Mollenhauer,  Friedrich
85;Gluck,  Christoph  Willibald
86;Dessauer,  Josef
87;Goldbeck,  Robert
88;Rode,  Jacques  Pierre Joseph
89;Henselt,  Adolf  Von
90;Gottschalk,  Louis  Moreau
91;Schindelmeisser,  Ludwig
92;Ernst,  Heinrich  Wilhelm
93;Rietz,  Julius
94;Goltermann,  Georg  Eduard
95;Servais,  Adrien  Francois
96;Nicolai,  Otto
97;Topliffe,  Robert
98;Field,  John
99;Rubinstein,  Anton
100;Liszt,  Franz
101;Arne,  Thomas
102;Napoleon,  Arthur
103;Stigelli,  Giorgio
104;Satter,  Gustave
105;Auber,  Daniel-François
106;Haertel,  A.
107;1860s
108;Kummer,  Friedrich  August
109;Mollenhauer,  Edward
110;Tedesco,  Ignaz  Amadeus
111;Lubeck,  Ernst
112;Saar,  William
113;Lucas,
114;Shaw,  David  T.
115;Wallace,
116;Hopkins,  Charles  Jerome
117;Otten,  William  F.
118;Mills,  Sebastian  Bach
119;Verzano,
120;Anthem,
121;Stradella,  Alessandro
122;Brahms,  Johannes
123;Neukirchner,  Wenzel
124;Lipinsky,  Karl  Joseph
125;Bach,  Johann  Sebastian
126;Clapisson,  Antoine  Louis
127;Bergner,  Frederick
128;Gounod,  Charles
129;Artot,  Alexandre
130;Esser,  Heinrich
131;Evers,  Carl
132;Flotow,  Friedrich  Von
133;Hohnstock,  Carl
134;Ritter,  Frederic  Louis
135;Alard,  Jean  Delphin
136;Palestrina,  Giovanni  Da
137;Bargiel,  Woldemar
138;Prume,  Jehin
139;Wehli,  James  M.
140;Burgmuller,  Norbert
141;Volkmann,  Friedrich  Robert
142;Bruch,  Max
143;Veit,  Wenzel  Heinrich
144;Kinkel,  Johanna
145;Catel,  Charles  Simon
146;Bull,  Ole
147;Rizzo,  Giovanni  Battista [Riccio]
148;Raff,  Joachim
149;Goldmark,  Karl
150;1870s
151;Bergmann,  Carl
152;Reinecke,  Carl
153;Dachauer,  Louis
154;Heinefetter,  Wilhelm
155;Boieldieu,  François-Adrien
156;Frey,  M.
157;Erdmannsdorfer,  Max  Von
158;Pinsoti,
159;Matzka,  George
160;Grimm,  Julius  Otto
