Id;Label
17;1842-43
2;Beethoven,  Ludwig  van
3;Weber,  Carl  Maria Von
4;Hummel,  Johann
5;Rossini,  Gioachino
6;Mozart,  Wolfgang  Amadeus
7;Kalliwoda,  Johann  W.
9;Bellini,  Vincenzo
10;Romberg,  Bernhard
12;Pacini,  Giovanni
13;Onslow,  George
14;Thalberg,  Sigismond
15;Herz,  Henri
16;Lindpaintner,  Peter  Von
18;Haydn,  Franz  Joseph
19;Mendelssohn,  Felix
20;Spohr,  Louis
29;1843-44
22;Nini,  Alessandro
23;Donizetti,  Gaetano
25;Reicha,  Antoine(-Joseph)
26;Herold,  Louis  Joseph Ferdinand [Hérold]
28;Bochsa,  Robert  N. C.
30;Vieuxtemps,  Henri
38;1844-45
33;Marschner,  Heinrich  August
35;Bennett,  William  Sterndale
36;Meyerbeer,  Giacomo
37;Ries,  Ferdinand
39;Kreutzer,  Conradin
54;1845-46
41;Cherubini,  Luigi
42;Mercadante,  Giuseppe  Saverio
43;Traditional,
44;Heller,  Stephen [István]
45;Mehul [Méhul],  Etienne  Nicolas
47;Loder,  George, Jr.
48;Beriot,  Charles-Auguste  de
49;Reissiger,  Karl  Gottlieb
51;Furstenau,  Anton  Bernhard
52;Berlioz,  Hector
55;Verdi,  Giuseppe
62;1846-47
57;Chopin,  Frédéric
59;Bristow,  George  Frederick
61;Hiller,  Ferdinand
63;Eisenhofer,  Franz  Xaver
69;1847-48
66;Dussek,  Jan  Ladislav
70;Moscheles,  Ignaz
71;Lachner,  Franz
80;1848-49
73;Gade,  Niels
75;Jacobi,  Frederick
76;Granz,  Norman
78;Schmitz,  Henry
79;Schumann,  Robert
81;Costa,  Sir  Michael
86;1849-50
83;Nicholson,  Charles
87;Maurer,  Ludwig  Wilhelm
96;1850-51
89;Benedict,  Jules
90;Fuchs,  H.
92;Schubert,  Franz
93;David,  Ferdinand
94;Spontini,  Gasparo
97;Heinemeyer,  Ernst  Wilhelm
98;Dancla,  Jean  Charles
99;Wallace,  William  Vincent
100;Litolff,  Henry  Charles
105;1851-52
104;Kalkbrenner,  Friedrich [Frédéric]
106;Haase,  Carl  F.W.
116;1852-53
108;Abt,  Franz
110;Gumbert,  Friedrich  Adolf
111;Paganini,  Nicolò
112;Fesca,  Alexander  (Ernst)
113;Lobe,  Johann  Christian
115;Mason,  William
117;Gockel,  August
118;Bordese,  Luigi
125;1853-54
120;Parish-Alvars,  Elias
122;Handel,  George  Frideric
124;Lortzing,  Albert
126;Schneider,  Johann  C. Friedrich
127;Baumann,  F.
136;1854-55
129;Eisfeld,  Theodore
131;Sainton,  Prosper
132;Schreiber,  Louis
135;Wagner,  Richard
143;1855-56
138;Mollenhauer,  Friedrich
139;Gluck,  Christoph  Willibald
140;Dessauer,  Josef
154;1856-57
145;Goldbeck,  Robert
146;Rode,  Jacques  Pierre Joseph
148;Henselt,  Adolf  Von
149;Gottschalk,  Louis  Moreau
150;Schindelmeisser,  Ludwig
152;Ernst,  Heinrich  Wilhelm
153;Rietz,  Julius
161;1857-58
156;Goltermann,  Georg  Eduard
157;Servais,  Adrien  Francois
159;Nicolai,  Otto
170;1858-59
165;Topliffe,  Robert
166;Field,  John
