work_id,title,composer,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010,2020
52446*,"SYMPHONY NO. 5 IN C MINOR, OP.67","Beethoven,  Ludwig  van",4,4,4,5,7,6,19,67,100,50,43,17,24,9,7,27,20,12,0
8834*4,OBERON,"Weber,  Carl  Maria Von",2,3,1,1,2,3,0,8,8,2,0,0,1,0,0,0,1,0,0
3642*,"QUINTET, PIANO, D MINOR, OP. 74","Hummel,  Johann",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0*,"QUINTET, PIANO, D MINOR, OP. 74","Hummel,  Johann",31,43,56,67,93,113,281,865,1361,1149,1322,1178,834,776,824,716,953,850,14
8834*3,OBERON,"Weber,  Carl  Maria Von",4,2,2,2,2,2,10,29,54,39,30,11,6,6,19,3,6,3,0
8835*1,ARMIDA,"Rossini,  Gioachino",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8837*6,"FIDELIO, OP. 72","Beethoven,  Ludwig  van",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8336*4,"ABDUCTION FROM THE SERAGLIO,THE, K.384","Mozart,  Wolfgang  Amadeus",1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
5543*,"OVERTURE NO. 1, D MINOR, OP. 38","Kalliwoda,  Johann  W.",1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
52437*,"SYMPHONY NO. 3 IN E FLAT MAJOR, OP. 55 (EROICA)","Beethoven,  Ludwig  van",4,3,3,4,8,7,13,43,69,44,22,19,10,25,12,11,20,23,1
8838*2,I PURITANI,"Bellini,  Vincenzo",1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
3659*,CELEBRATED ELEGIE,"Romberg,  Bernhard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8839*2,WILLIAM TELL,"Rossini,  Gioachino",4,0,0,0,0,1,9,6,25,15,12,6,3,8,1,3,3,1,0
53076*2,STABAT MATER,"Rossini,  Gioachino",1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
51568*2,"CONCERTO, PIANO, A-FLAT MAJOR, OP. 113","Hummel,  Johann",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51568*3,"CONCERTO, PIANO, A-FLAT MAJOR, OP. 113","Hummel,  Johann",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6709*16,"FREISCHUTZ, DER","Weber,  Carl  Maria Von",4,1,1,0,2,2,8,35,58,43,31,41,4,8,2,1,2,0,0
